Designator,Footprint,Quantity,Value,LCSC Part #
Boot1,tactile_5.4,1,Boot,
"C1, C2, C3, C4, C5",0805,5,10uF,C5137578
"C10, C11, C6, C8",0805,4,1uF,C363560
"D1, D3, D4, D5, D6",D_SOD-123,5,MBR0540,C116159
D2,1206,1,orange,C779453
"H1, H3",MountingHole_2.2mm_M2_Pad_Via,2,MountingHole_Pad,
H2,MountingHole_2.2mm_M2_Pad_Via,1,mounting hole,
H4,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
IC1,ESP32S3WROOM1UN4,1,ESP32-S3-WROOM-1U-N4,C3013945
"J1, J4",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,2,ADC1,
J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT2,
J12,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,BATT,
J13,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT7,
J14,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,PWR,
J15,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT8,
J16,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,485,
J17,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,ESP PRG,
J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC2,
J5,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT4,
J6,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,I2C,
J7,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT5,
J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT1,
J9,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT6,
Q1,SOT-23,1,DMG3415U,C96616
Q4,SOT-23,1,S8050,C5249674
"R1, R2",0805,2,100K,C25803
"R10, R13",0805,2,20K,C25804
"R12, R14, R15, R16, R5, R7, R8, R9",0805,8,10K,C25804
"R3, R4",0805,2,5.1K,C23186
Reset1,tactile_5.4,1,Reset,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,ON/OFF,
U1,SOT25,1,AP2112K-3.3TRG1,C51118
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP3426Axx-xSN,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,C19738
