Designator,Mid X,Mid Y,Rotation,Layer
C1,111.747,-86.868,180.0,top
C10,138.189,-90.424,180.0,bottom
C2,116.078,-89.903,270.0,top
C3,115.049,-86.868,0.0,top
C4,118.364,-40.907,90.0,top
C5,144.526,-40.907,90.0,top
C6,120.396,-40.894,90.0,top
C7,148.336,-62.484,90.0,bottom
C8,118.618,-82.283,270.0,top
C9,143.751,-70.104,180.0,bottom
D1,110.364,-81.788,0.0,top
D2,152.908,-81.153,90.0,top
IC1,132.434,-48.442,0.0,top
J1,115.824,-98.572,0.0,top
J10,110.236,-58.928,90.0,top
J11,110.236,-65.278,90.0,top
J12,154.94,-98.552,180.0,top
J13,147.066,-74.93,180.0,top
J14,111.76,-98.552,180.0,top
J15,152.908,-51.054,270.0,top
J16,152.908,-75.438,90.0,top
J2,124.968,-98.572,0.0,top
J3,134.112,-98.572,0.0,top
J4,143.256,-98.572,0.0,top
J5,110.236,-76.708,90.0,top
J6,152.908,-47.244,90.0,top
J7,123.444,-74.93,180.0,top
J8,110.236,-47.498,90.0,top
J9,135.382,-74.93,180.0,top
Q1,114.8865,-82.296,0.0,top
Q2,144.0965,-66.802,180.0,bottom
Q3,144.0965,-62.804,0.0,bottom
R1,108.966,-87.059,90.0,top
R10,126.175,-92.456,180.0,bottom
R11,138.113,-92.456,180.0,bottom
R2,118.11,-86.931,90.0,top
R3,152.908,-84.773,270.0,top
R4,149.797,-80.772,180.0,top
R5,140.97,-62.929,90.0,bottom
R6,144.526,-84.773,90.0,top
R7,130.81,-85.027,270.0,top
R8,147.828,-65.977,90.0,bottom
R9,126.175,-90.424,180.0,bottom
SW1,134.62,-82.296,0.0,top
SW2,120.904,-82.296,0.0,top
U1,112.607,-89.85,0.0,top
U2,150.048,-84.1955,270.0,top
U3,132.198,-91.44,0.0,bottom
