Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,10uF,C5137578
"C10, C11, C6, C8, C9",0603,5,1uF,C363560
C7,0603,1,4.7uF,C5252398
"D1, D3, D4, D5, D6",D_SOD-123,5,MBR0540,C116159
D2,0603,1,orange,C779453
IC1,ESP32S3WROOM1UN4,1,ESP32-S3-WROOM-1U-N4,C3013945
J1,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC4,
J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT2,
J11,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,EXT3,
J12,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,BATT,
J13,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT7,
J14,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,PWR,
J15,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT8,
J16,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,FTDI,
J17,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,485,
J2,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC3,
J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC2,
J4,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC1,
J5,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT4,
J6,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,I2C,
J7,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT5,
J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT1,
J9,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT6,
Q1,SOT-23,1,DMG3415U,C96616
"Q2, Q3, Q4",SOT-23,3,S8050,C5249674
"R1, R2",0603,2,100K,C25803
"R10, R11, R12, R13, R14, R15, R6, R7, R9",0603,9,10K,C25804
"R16, R17",0603,2,20K,C25804
"R3, R4",0603,2,5.1K,C23186
"R5, R8",0603,2,12K,C22790
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,Boot,C116647
SW2,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,Reset,C116647
U1,SOT95P285X140-5N,1,AP2112K-3.3TRG1,C51118
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,SOP50P490X110-10N,1,ADS1115IDGSR,C37593
U4,21-0041B_8_MXM,1,MAX485E,
